,Unnamed: 0,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor,Discipline,Cleaned Author Keywords,AUTHOR KEYWORDS,AUTHORS
46,46,2-s2.0-85118164309,10.1038/s41467-021-26393-7,,34697313.0,Designing the bioproduction of Martian rocket propellant via a biotechnology-enabled in situ resource utilization strategy,ar,Article,Kruyer N.S.,60077233;60019647,The George W. Woodruff School of Mechanical Engineering;Georgia Institute of Technology,Atlanta;Atlanta,United States;United States,5.0,"Kruyer, Nicholas S.;Realff, Matthew J.;Sun, Wenting;Genzale, Caroline L.;Peralta-Yahya, Pamela",57193775704;7004685320;57315340400;24724271700;14323964000,60019647;60019647;60019647;60077233;60019647,2021-12-01,1 December 2021,Nature Communications,,19700182758.0,20411723,Journal,12,1,6166,,"Mars colonization demands technological advances to enable the return of humans to Earth. Shipping the propellant and oxygen for a return journey is not viable. Considering the gravitational and atmospheric differences between Mars and Earth, we propose bioproduction of a Mars-specific rocket propellant, 2,3-butanediol (2,3-BDO), from CO2, sunlight and water on Mars via a biotechnology-enabled in situ resource utilization (bio-ISRU) strategy. Photosynthetic cyanobacteria convert Martian CO2 into sugars that are upgraded by engineered Escherichia coli into 2,3-BDO. A state-of-the-art bio-ISRU for 2,3-BDO production uses 32% less power and requires a 2.8-fold higher payload mass than proposed chemical ISRU strategies, and generates 44 tons of excess oxygen to support colonization. Attainable, model-guided biological and materials optimizations result in an optimized bio-ISRU that uses 59% less power and has a 13% lower payload mass, while still generating 20 tons excess oxygen. Addressing the identified challenges will advance prospects for interplanetary space travel.",,11,1,repositoryvor,Green,NASA,undefined,National Aeronautics and Space Administration,SBE,,,"Kruyer, Nicholas S.;Realff, Matthew J.;Sun, Wenting;Genzale, Caroline L.;Peralta-Yahya, Pamela"
47,47,2-s2.0-85116487997,10.1016/j.neubiorev.2021.09.054,S0149763421004425,34606822.0,European space agency's hibernation (torpor) strategy for deep space missions: Linking biology to engineering,re,Review,Choukér A.,60031159;60012556;60007762;60000291,ESTEC - European Space Research and Technology Centre;Philipps-Universität Marburg;Goethe-Universität Frankfurt am Main;Klinikum der Universität München,Noordwijk aan Zee;Marburg;Frankfurt am Main;Munich,Netherlands;Germany;Germany;Germany,6.0,"Choukér, Alexander;Ngo-Anh, Thu Jennifer;Biesbroek, Robin;Heldmaier, Gerhard;Heppener, Marc;Bereiter-Hahn, Jürgen",6602376437;25628230000;6507651738;7004259853;16316340000;16188167600,60000291;60031159;60031159;60012556;60031159;60007762,2021-12-01,December 2021,Neuroscience and Biobehavioral Reviews,01497634,18045.0,18737528,Journal,131,,,618-626,"Long-duration space missions to Mars will impose extreme stresses of physical and psychological nature on the crew, as well as significant logistical and technical challenges for life support and transportation. Main challenges include optimising overall mass and maintaining crew physical and mental health. These key scopes have been taken up as the baseline for a study by the European Space Agency (ESA) using its Concurrent Design Facility (CDF). It focussed on the biology of hibernation in reducing metabolism and hence stress, and its links to the infrastructure and life support. We concluded that torpor of crew members can reduce the payload with respect to oxygen, food and water but will require monitoring and artificial intelligence (AI) assisted monitoring of the crew. These studies additionally offer new potential applications for patient care on Earth. Keywords: Space flight, concurrent design facility, metabolic reduction",Human space exploration | Hypometabolism | Mission design | Storage fat | Torpor,3,0,,,ESA,4000117771/16,European Space Agency,SBE,"['Human space exploration ', ' Hypometabolism ', ' Mission design ', ' Storage fat ', ' Torpor']",Human space exploration | Hypometabolism | Mission design | Storage fat | Torpor,"Choukér, Alexander;Ngo-Anh, Thu Jennifer;Biesbroek, Robin;Heldmaier, Gerhard;Heppener, Marc;Bereiter-Hahn, Jürgen"
48,48,2-s2.0-85120684469,10.3389/fspas.2021.729278,,,Hydrogels Improve Plant Growth in Mars Analog Conditions,ar,Article,Peyrusson F.,60000874,Université Catholique de Louvain,Louvain-la-Neuve,Belgium,1.0,"Peyrusson, Frédéric",37061694000,60000874,2021-11-18,18 November 2021,Frontiers in Astronomy and Space Sciences,,21100944560.0,2296987X,Journal,8,,729278,,"Sustainable human settlement on Mars will require in situ resource utilization (ISRU), the collection and utilization of Mars-based resources, including notably water and a substrate for food production. Plants will be fundamental components of future human missions to Mars, and the question of whether Mars soils can support plant growth is still open. Moreover, plant cultivation may suffer from the lack of in situ liquid water, which might constitute one of the biggest challenges for ISRU-based food production on Mars. Enhancing the crop yield with less water input and improving water utilization by plants are thus chief concern for sustainable ISRU food production. Hydrogels are polymers able to absorb large quantity of water and to increase soil water retention, plant establishment and growth. This work reports on the short-term assessment of plant growth in Mars soil analogs supplemented with hydrogels. Soil analogs consisted of sand and clay-rich material, with low organic matter content and alkaline pH. Soils were supplemented with 10% (w/w) potting medium and were sampled in Utah desert, in the vicinity of the Mars Desert Research Station, surrounded by soils sharing similarities in mineralogical and chemical composition to Martian soils. Height and dry biomass of spearmint (Mentha spicata) were compared under various irrigation frequencies, and seed germination of radish (Raphanus sativus) were monitored. Under limited irrigation, results indicate that the soil analogs were less capable of supporting plant growth as a comparison to potting medium. The effects of hydrogel supplementation were significant under limited irrigation and led to spearmint heights increased by 3 and 6% in clay- and sand-containing soils, respectively. Similarly, hydrogel supplementation resulted in spearmint mass increased by 110% in clay-containing soils and 78% in sand-containing soils. Additionally, while radish seeds failed to germinate in soil analogs, hydrogel supplementation allows for the germination of 27% of seeds, indicating that hydrogels might help loosening dense media with low water retention. Collectively, the results suggest that supplementation with hydrogel and plant growth substrate could help plants cope with limited irrigation and poor alkaline Mars soil analogs, and are discussed in the context of strategies for ISRU-based off-world colonization.",astrobiology | colonization | hydrogel | in situ resource utilization (ISRU) | life support systems | Mars | plant,0,1,repositoryam,Green,,undefined,Université Catholique de Louvain,SBE,"['astrobiology ', ' colonization ', ' hydrogel ', ' in situ resource utilization (ISRU) ', ' life support systems ', ' Mars ', ' plant']",astrobiology | colonization | hydrogel | in situ resource utilization (ISRU) | life support systems | Mars | plant,"Peyrusson, Frédéric"
49,49,2-s2.0-85118718513,10.3390/md19110619,,34822490.0,"Jellyfish bioprospecting in the mediterranean sea: Antioxidant and lysozyme-like activities from aurelia coerulea (cnidaria, scyphozoa) extracts",ar,Article,Stabili L.,60073807;60024353;60021199;60010164;114749910,Stazione Zoologica Anton Dohrn;Universita del Salento;Consiglio Nazionale delle Ricerche;Istituto di Scienze delle Produzioni Alimentari;Consorzio Nazionale Interuniversitario per le Scienze del Mare (CoNISMa),Naples;Lecce;Rome;Bari;Rome,Italy;Italy;Italy;Italy;Italy,5.0,"Stabili, Loredana;Rizzo, Lucia;Caprioli, Rosa;Leone, Antonella;Piraino, Stefano",6602512127;56180096900;57209430881;55367241300;56216837300,60024353-60021199;60073807;60024353;60010164-114749910;60024353-114749910,2021-11-01,November 2021,Marine Drugs,,144790.0,16603397,Journal,19,11,619,,"Marine invertebrates represent a vast, untapped source of bioactive compounds. Cnidarians are represented by nearly 10,000 species that contain a complex mixture of venoms, collagen, and other bioactive compounds, including enzymes, oligosaccharides, fatty acids, and lipophilic molecules. Due to their high abundance in coastal waters, several jellyfish taxa may be regarded as candidate targets for the discovery of novel lead molecules and biomaterials and as a potential source of food/feed ingredients. The moon jellyfish Aurelia coerulea is one of the most common jellyfish worldwide and is particularly abundant in sheltered coastal lagoons and marinas of the Mediterranean Sea, where it first appeared—as an alien species—in the last century, when Pacific oyster cultivation began. In the present study, the antioxidant and lysozyme antibacterial activities associated with extracts from different medusa compartments—namely the umbrella, oral arms, and secreted mucus—were investigated. Extracts from the oral arms of A. coerulea displayed significant antioxidant activity. Similarly, lysozyme-like activity was the highest in extracts from oral arms. These findings suggest that A. coerulea outbreaks may be used in the search for novel cytolytic and cytotoxic products against marine bacteria. The geographically wide occurrence and the seasonally high abundance of A. coerulea populations in coastal waters envisage and stimulate the search for biotechnological applications of jellyfish biomasses in the pharmaceutical, nutritional, and nutraceutical sectors.",Antimicrobial compounds | Bioactive compounds | Lysozyme-like activity | Moon medusa | Peptides,4,1,repositoryvor,Green,EC,undefined,European Commission,SBE,"['Antimicrobial compounds ', ' Bioactive compounds ', ' Lysozyme-like activity ', ' Moon medusa ', ' Peptides']",Antimicrobial compounds | Bioactive compounds | Lysozyme-like activity | Moon medusa | Peptides,"Stabili, Loredana;Rizzo, Lucia;Caprioli, Rosa;Leone, Antonella;Piraino, Stefano"
50,50,2-s2.0-85116029580,10.1016/j.jcou.2021.101726,S2212982021002936,,Chemical synthesis of food from CO<inf>2</inf> for space missions and food resilience,ar,Article,García Martínez J.B.,60011976;121595840;118836910,University of Alaska Fairbanks;Alliance to Feed the Earth in Disasters (ALLFED);HEIG-VD,Fairbanks;Fairbanks;Yverdon-les-Bains,United States;United States;Switzerland,4.0,"García Martínez, Juan B.;Alvarado, Kyle A.;Christodoulou, Xenia;Denkenberger, David C.",57218845028;57212383059;57191595921;6504675884,121595840;121595840-60011976;121595840-118836910;121595840-60011976,2021-11-01,November 2021,Journal of CO2 Utilization,22129820,21100255407.0,,Journal,53,,101726,,"Recyclable food technologies are essential for long-term manned space missions. This research compares customary and alternative space foods to non-biological synthesis (NBS) systems using recycled CO2. Using electrochemical conversion of CO2 as a starting point, different carbohydrate synthesis routes are reviewed. Sugars and glycerol are considered as final products. Three roundtrip missions with 5 crew members and 3-year duration were analyzed: International Space Station, the Moon, and Mars. The equivalent system mass (ESM) technique was used to compare NBS systems to customarily storing prepackaged food, artificial-light grown Spirulina platensis, hydrogen-oxidizing bacteria (HOB), and microbial electrosynthesis (MES). This allows for a launch cost comparison of systems with different characteristics, including equipment mass, onboard volume, and power and heat rejection requirements. Power consumption was estimated via mass and energy balances using literature values. The Mars mission ESM of the NBS system is estimated within 10−30 tonnes. This was compared to an average of 65 t for Spirulina, 35 t for prepackaged food, 25 t for MES, and 11 t for HOB. NBS is estimated to be among the most energy efficient options, together with HOB and MES. Electricity-to-food conversion efficiencies of 10–21 % and single-pass carbon yields up to ∼70 % are expected for an NBS system. Although NBS is not recommended over all alternatives (i.e. HOB), it is recommended over the prepackaged food and Spirulina benchmarks. These food production technologies could also help humanity survive extreme catastrophes.",CO  conversion 2 | Equivalent system mass | Existential risk | Formose reaction | Global catastrophic risk | Non-biological synthesis,8,0,,,NASA,80NSSC19M0062,National Aeronautics and Space Administration,SBE,"['CO  conversion 2 ', ' Equivalent system mass ', ' Existential risk ', ' Formose reaction ', ' Global catastrophic risk ', ' Non-biological synthesis']",CO  conversion 2 | Equivalent system mass | Existential risk | Formose reaction | Global catastrophic risk | Non-biological synthesis,"García Martínez, Juan B.;Alvarado, Kyle A.;Christodoulou, Xenia;Denkenberger, David C."
51,51,2-s2.0-85110996895,10.1002/cjce.24225,,,Development of bioreactor protocols for stem cell-based therapies,ar,Article,Panchalingam K.,60001673;109504270,Amgen Incorporated;PBS Biotech,Thousand Oaks;Camarillo,United States;United States,4.0,"Panchalingam, Krishna;Wang, Tony;Jung, Sunghoon;Ahmadian Baghbaderani, Behnam",36139865000;56883287200;37121951000;23003201800,;60001673;109504270;,2021-11-01,November 2021,Canadian Journal of Chemical Engineering,00084034,16366.0,1939019X,Journal,99,11,,2505-2516,"Stem cell-based therapies offer a new treatment alternative for individuals suffering from devastating disorders such as Parkinson's disease (PD) and Huntington's disease (HD). Derivation and transplantation of stem cells or their derivatives have shown significant therapeutic outcomes in animal model studies and clinical trials. However, commercialization of stem cell-based therapies and widespread access to these treatments are largely hampered by access to large quantities of high-quality products generated under standardized, robust, and controlled conditions. Over the last three decades, the Pharmaceutical Production Research Facility (PPRF) of the University of Calgary, founded by the late Professor Leo A. Behie, has carried out groundbreaking research focusing on the fundamentals of bioprocessing for various stem cells including human neural precursor cells (NPCs) and mesenchymal stem/stromal cells (MSCs). These efforts led to the development of serum-free growth media and expansion protocols for large-scale production of therapeutically-relevant NPCs for the treatment of neurodegenerative disorders. Similarly, high-performance, defined growth media and reliable, large-scale computer-controlled bioreactor protocols were developed for the expansion of MSCs derived from human bone marrow and other sources and the generation of a therapeutically-relevant secretome. Important bioprocessing considerations such as the hydrodynamics of the bioreactor, mass transfer, cellular microenvironment and synergistic impact of media components were evaluated in these studies. Undoubtedly, the diverse topics of research carried out at PPRF significantly contributed to the translation of the laboratory-based stem cell culture studies into production of clinical-grade materials and eventually commercialization of stem cell-based therapies through applying principles of bioengineering and bioprocessing.",bioprocessing | bioreactor | cell therapy | growth media | stem cells,3,0,,,,undefined,,SBE,"['bioprocessing ', ' bioreactor ', ' cell therapy ', ' growth media ', ' stem cells']",bioprocessing | bioreactor | cell therapy | growth media | stem cells,"Panchalingam, Krishna;Wang, Tony;Jung, Sunghoon;Ahmadian Baghbaderani, Behnam"
52,52,2-s2.0-85107563843,10.1002/cjce.24192,,,Research contributions of Leo A. Behie to chemical and biomedical engineering,ar,Article,Mehrotra A.K.,60002306,University of Calgary,Calgary,Canada,7.0,"Mehrotra, Anil K.;Karan, Kunal;Kallos, Michael S.;Sen, Arindom;Ehsani, Sina;Abraham, Brett;Roberts, Erin L.",7102558344;26634057000;6603241993;8574524000;57205683976;57214886322;57200731079,60002306;60002306;60002306;60002306;60002306;60002306;60002306,2021-11-01,November 2021,Canadian Journal of Chemical Engineering,00084034,16366.0,1939019X,Journal,99,11,,2262-2281,"Leo Augustus Behie was known as a dedicated teacher and mentor, a team builder, and an outstanding researcher and innovator. He had a most productive and illustrious career, spanning five decades, that covered both industrial and academic sectors. His academic research career started with tackling classical chemical engineering challenges and, with time, shifted to biotechnology and biomedical engineering. He was the founding director of a unique research laboratory for undertaking innovative biotechnology and biomedical engineering research at the University of Calgary, called the Pharmaceutical Production Research Facility (PPRF). This paper presents an overview of his academic and research accomplishments, which also included the training of 17 doctoral students, 21 master's degree students, and many postdoctoral scholars. His main research areas under the classical chemical engineering theme included the investigation of the grid region in gas–solid fluidized bed reactors; gas–liquid and liquid–solid multiphase systems; fluidized bed reactors for metals recovery from coal ash; spouted fluid-bed reactors; kinetics of pyrolysis chemical reactions; transport phenomena in rotary drums; and reactions, thermodynamics, and reactor modelling of sulphur systems. His main research areas under the biotechnology and biomedical engineering theme included advances in biotechnology and bioreactor design; production of antibiotic and monoclonal antibody; protein production in insect cells; process development for the production of neural stem cells, cancer stem cells, and islet cells; mesenchymal stem cells; and cellular secretome studies aimed at developing a cure for Parkinson's disease.",bioreactor and biotechnology | fluidization | reaction kinetics | stem cells | transport phenomena,1,0,,,,undefined,,SBE,"['bioreactor and biotechnology ', ' fluidization ', ' reaction kinetics ', ' stem cells ', ' transport phenomena']",bioreactor and biotechnology | fluidization | reaction kinetics | stem cells | transport phenomena,"Mehrotra, Anil K.;Karan, Kunal;Kallos, Michael S.;Sen, Arindom;Ehsani, Sina;Abraham, Brett;Roberts, Erin L."
53,53,2-s2.0-85103404480,10.1002/cjce.24088,,,NSERC discovery grants and a tribute to Leo A. Behie,ar,Article,Patience G.S.,60019141;60002494,Polytechnique Montréal;Université McGill,Montreal;Montreal,Canada;Canada,2.0,"Patience, Gregory S.;Patience, Brendan A.",7003588502;57222605870,60019141;60002494,2021-11-01,November 2021,Canadian Journal of Chemical Engineering,00084034,16366.0,1939019X,Journal,99,11,,2282-2293,"The scope of chemical engineering continues to evolve and has become ever more multifaceted. It encompasses traditional fields like polymers, thermodynamics, transport processes, control, and environmental science, but has expanded to include biotechnology, biomedical, food technology, materials, and numerical techniques like artificial neural networks and discrete element methods. In fact, the Natural Sciences and Engineering Research Council of Canada (NSERC) combines chemical engineering and materials in the same evaluation group to award competitive funding for the Discovery Grant. Prof. Leo Behie's career reflected the change in the scope of chemical engineering. In the 1970s and early 1980s, Prof. Behie's research included hydrodynamics of fluidized beds and deriving the kinetics of the Claus reaction. In the late 1980s and into the 1990s, he contributed to biotechnology. In the 2000s and 2010s, his areas of expertise related to biomedical engineering comprising stem cell research and a focus on Parkinson's and Huntington's diseases. The common denominator for most of his research was reactor technology. In 2014, Prof. Behie quipped that chemical engineering was dead and many North American departments shared this tenet and added various scientific fields to recognize the emerging synergies. Here, we show that chemical engineering is a vibrant and growing field. We demonstrate in what way it is changing and describe how NSERC evaluates research dossiers for the Discovery Grants. We describe the relationship between the hindex and the number of citations and confirm that bibliometrics has only a minor role in the Discovery Grant award.",bioreactor | discovery grant | h-index | NSERC | stem cells,3,0,,,NSERC,undefined,Natural Sciences and Engineering Research Council of Canada,SBE,"['bioreactor ', ' discovery grant ', ' h-index ', ' NSERC ', ' stem cells']",bioreactor | discovery grant | h-index | NSERC | stem cells,"Patience, Gregory S.;Patience, Brendan A."
54,54,2-s2.0-85117563834,10.3389/fspas.2021.701158,,,To Other Planets With Upgraded Millennial Kombucha in Rhythms of Sustainability and Health Support,re,Review,Kozyrovska N.,60111918;60068520;60030074;60027509;60025637;60021902;60008734;60008293;60007798;127083720;107137889,"HE Space Operations GmbH;Institute of Molecular Biology and Genetics National Academy of Sciences of Ukraine;Universidade Federal de Minas Gerais;Università degli Studi di Roma ""Tor Vergata"";Universidade Estadual de Santa Cruz;University of Pretoria;Vrije Universiteit Amsterdam;Universität Bremen;Deutsches Zentrum für Luft- und Raumfahrt (DLR);Analog Astronaut Training Centre;Institute of Integrative Omics and Applied Biotechnology (IIOAB)",Bremen;Kyiv;Belo Horizonte;Rome;Ilheus;Pretoria;Amsterdam;Bremen; Cologne;Rzeszow;Purba Medinipur,Germany;Ukraine;Brazil;Italy;Brazil;South Africa;Netherlands;Germany;Germany;Poland;India,17.0,"Kozyrovska, Natalia;Reva, Oleg;Podolich, Olga;Kukharenko, Olga;Orlovska, Iryna;Terzova, Vitalia;Zubova, Ganna;Trovatti Uetanabaro, Ana Paula;Góes-Neto, Aristóteles;Azevedo, Vasco;Barh, Debmalya;Verseux, Cyprien;Billi, Daniela;Kołodziejczyk, Agata Maria;Foing, Bernard;Demets, René;Vera, Jean Pierre de",55946389000;6701594610;24437040800;56519946400;57188683671;57221761855;57217873060;6506229058;6603213836;57215010765;26422829000;56398455000;6602426429;57191543872;7005973296;6602912518;57248579800,60068520;60021902;60068520;60068520;60068520;60068520;60068520;60025637-60030074;60030074;60030074;60030074-107137889;60008293;60027509;127083720;60008734;60111918;60007798,2021-10-12,12 October 2021,Frontiers in Astronomy and Space Sciences,,21100944560.0,2296987X,Journal,8,,701158,,"Humankind has entered a new era of space exploration: settlements on other planetary bodies are foreseen in the near future. Advanced technologies are being developed to support the adaptation to extraterrestrial environments and, with a view on the longer term, to support the viability of an independent economy. Biological processes will likely play a key role and lead to the production of life-support consumables, and other commodities, in a way that is cheaper and more sustainable than exclusively abiotic processes. Microbial communities could be used to sustain the crews’ health as well as for the production of consumables, for waste recycling, and for biomining. They can self-renew with little resources from Earth, be highly productive on a per-volume basis, and be highly versatile—all of which will be critical in planetary outposts. Well-defined, semi-open, and stress-resistant microecosystems are particularly promising. An instance of it is kombucha, known worldwide as a microbial association that produces an eponymous, widespread soft drink that could be valuable for sustaining crews’ health or as a synbiotic (i.e., probiotic and prebiotic) after a rational assemblage of defined probiotic bacteria and yeasts with endemic or engineered cellulose producers. Bacterial cellulose products offer a wide spectrum of possible functions, from leather-like to innovative smart materials during long-term missions and future activities in extraterrestrial settlements. Cellulose production by kombucha is zero-waste and could be linked to bioregenerative life support system (BLSS) loops. Another advantage of kombucha lies in its ability to mobilize inorganic ions from rocks, which may help feed BLSS from local resources. Besides outlining those applications and others, we discuss needs for knowledge and other obstacles, among which is the biosafety of microbial producers.",bioregenerative life support system | cellulose biofabrication | extraterrestrial outposts | in situ resource utilization | kombucha | microbial technologies | postbiotic | space exploration,3,1,repositoryam,Green,AvH,49/2021,Alexander von Humboldt-Stiftung,SBE,"['bioregenerative life support system ', ' cellulose biofabrication ', ' extraterrestrial outposts ', ' in situ resource utilization ', ' kombucha ', ' microbial technologies ', ' postbiotic ', ' space exploration']",bioregenerative life support system | cellulose biofabrication | extraterrestrial outposts | in situ resource utilization | kombucha | microbial technologies | postbiotic | space exploration,"Kozyrovska, Natalia;Reva, Oleg;Podolich, Olga;Kukharenko, Olga;Orlovska, Iryna;Terzova, Vitalia;Zubova, Ganna;Trovatti Uetanabaro, Ana Paula;Góes-Neto, Aristóteles;Azevedo, Vasco;Barh, Debmalya;Verseux, Cyprien;Billi, Daniela;Kołodziejczyk, Agata Maria;Foing, Bernard;Demets, René;Vera, Jean Pierre de"
55,55,2-s2.0-85117932207,10.3389/fmicb.2021.700863,,,Evaluating the Cost of Pharmaceutical Purification for a Long-Duration Space Exploration Medical Foundry,ar,Article,McNulty M.J.,60025038;60014439;124841290,"University of California, Berkeley;University of California, Davis;Center for the Utilization of Biological Engineering in Space (CUBES)",Berkeley;Davis;Berkeley,United States;United States;United States,9.0,"McNulty, Matthew J.;Berliner, Aaron J.;Negulescu, Patrick G.;McKee, Liber;Hart, Olivia;Yates, Kevin;Arkin, Adam P.;Nandi, Somen;McDonald, Karen A.",57211407034;55848449400;57222598218;57226468271;57226467961;57222362120;7006902792;7103084049;7202491487,124841290-60014439;124841290-60025038;124841290-60014439;60014439;60014439;124841290-60014439;124841290-60025038;124841290-60014439;124841290-60014439,2021-10-11,11 October 2021,Frontiers in Microbiology,,21100226442.0,1664302X,Journal,12,,700863,,"There are medical treatment vulnerabilities in longer-duration space missions present in the current International Space Station crew health care system with risks, arising from spaceflight-accelerated pharmaceutical degradation and resupply lag times. Bioregenerative life support systems may be a way to close this risk gap by leveraging in situ resource utilization (ISRU) to perform pharmaceutical synthesis and purification. Recent literature has begun to consider biological ISRU using microbes and plants as the basis for pharmaceutical life support technologies. However, there has not yet been a rigorous analysis of the processing and quality systems required to implement biologically produced pharmaceuticals for human medical treatment. In this work, we use the equivalent system mass (ESM) metric to evaluate pharmaceutical purification processing strategies for longer-duration space exploration missions. Monoclonal antibodies, representing a diverse therapeutic platform capable of treating multiple space-relevant disease states, were selected as the target products for this analysis. We investigate the ESM resource costs (mass, volume, power, cooling, and crew time) of an affinity-based capture step for monoclonal antibody purification as a test case within a manned Mars mission architecture. We compare six technologies (three biotic capture methods and three abiotic capture methods), optimize scheduling to minimize ESM for each technology, and perform scenario analysis to consider a range of input stream compositions and pharmaceutical demand. We also compare the base case ESM to scenarios of alternative mission configuration, equipment models, and technology reusability. Throughout the analyses, we identify key areas for development of pharmaceutical life support technology and improvement of the ESM framework for assessment of bioregenerative life support technologies.",equivalent system mass | human exploration mission | in situ resource utilization | monoclonal antibody purification | pharmaceutical foundry | space exploration medical foundry | space systems bioengineering | techno-economic analysis,2,1,repositoryam,Green,NASA,80NSSC18K1157,National Aeronautics and Space Administration,SBE,"['equivalent system mass ', ' human exploration mission ', ' in situ resource utilization ', ' monoclonal antibody purification ', ' pharmaceutical foundry ', ' space exploration medical foundry ', ' space systems bioengineering ', ' techno-economic analysis']",equivalent system mass | human exploration mission | in situ resource utilization | monoclonal antibody purification | pharmaceutical foundry | space exploration medical foundry | space systems bioengineering | techno-economic analysis,"McNulty, Matthew J.;Berliner, Aaron J.;Negulescu, Patrick G.;McKee, Liber;Hart, Olivia;Yates, Kevin;Arkin, Adam P.;Nandi, Somen;McDonald, Karen A."
56,56,2-s2.0-85123032051,10.1016/j.mtbio.2021.100136,S2590006421000442,,"Blood, sweat, and tears: extraterrestrial regolith biocomposites with in vivo binders",ar,Article,Roberts A.D.,60172343;60010348;60003771,Faculty of Science and Engineering;Universitetet i Oslo;The University of Manchester,Manchester;Oslo;Manchester,United Kingdom;Norway;United Kingdom,7.0,"Roberts, A. D.;Whittall, D. R.;Breitling, R.;Takano, E.;Blaker, J. J.;Hay, S.;Scrutton, N. S.",55623969100;57219339471;15757011000;13806252500;6602100590;57208041289;7006621392,60172343;60172343;60172343;60172343;60003771-60010348;60172343;60172343,2021-09-01,September 2021,Materials Today Bio,,21100943536.0,25900064,Journal,12,,100136,,"The proverbial phrase ‘you can't get blood from a stone’ is used to describe a task that is practically impossible regardless of how much force or effort is exerted. This phrase is well-suited to humanity's first crewed mission to Mars, which will likely be the most difficult and technologically challenging human endeavor ever undertaken. The high cost and significant time delay associated with delivering payloads to the Martian surface means that exploitation of resources in situ — including inorganic rock and dust (regolith), water deposits, and atmospheric gases — will be an important part of any crewed mission to the Red Planet. Yet there is one significant, but chronically overlooked, source of natural resources that will — by definition — also be available on any crewed mission to Mars: the crew themselves. In this work, we explore the use of human serum albumin (HSA) — a common protein obtained from blood plasma — as a binder for simulated Lunar and Martian regolith to produce so-called ‘extraterrestrial regolith biocomposites (ERBs).’ In essence, HSA produced by astronauts in vivo could be extracted on a semi-continuous basis and combined with Lunar or Martian regolith to ‘get stone from blood’, to rephrase the proverb. Employing a simple fabrication strategy, HSA-based ERBs were produced and displayed compressive strengths as high as 25.0 MPa. For comparison, standard concrete typically has a compressive strength ranging between 20 and 32 MPa. The incorporation of urea — which could be extracted from the urine, sweat, or tears of astronauts — could further increase the compressive strength by over 300% in some instances, with the best-performing formulation having an average compressive strength of 39.7 MPa. Furthermore, we demonstrate that HSA-ERBs have the potential to be 3D-printed, opening up an interesting potential avenue for extraterrestrial construction using human-derived feedstocks. The mechanism of adhesion was investigated and attributed to the dehydration-induced reorganization of the protein secondary structure into a densely hydrogen-bonded, supramolecular β-sheet network — analogous to the cohesion mechanism of spider silk. For comparison, synthetic spider silk and bovine serum albumin (BSA) were also investigated as regolith binders — which could also feasibly be produced on a Martian colony with future advancements in biomanufacturing technology.",3D-printing | Biopolymer-bound soil composites | Human serum albumin | Hybrid materials | In situ resource utilization | Recombinant spider silk,7,1,repositoryvor,Green,UKRI,EP/S01778X/1,UK Research and Innovation,SBE,"['3D-printing ', ' Biopolymer-bound soil composites ', ' Human serum albumin ', ' Hybrid materials ', ' In situ resource utilization ', ' Recombinant spider silk']",3D-printing | Biopolymer-bound soil composites | Human serum albumin | Hybrid materials | In situ resource utilization | Recombinant spider silk,"Roberts, A. D.;Whittall, D. R.;Breitling, R.;Takano, E.;Blaker, J. J.;Hay, S.;Scrutton, N. S."
