,geometry,address
39,POINT (19.4528646 48.7411522),"Slovensko, Slovensko"
40,POINT (114.1628131 22.2793278),"香港 Hong Kong, 香港 Hong Kong, 中国"
41,POINT (42.3528328 25.6242618),"السعودية, السعودية"
42,POINT (120.9820179 23.9739374),"臺灣, 臺灣"
43,POINT (102.2656823 4.5693754),"Malaysia, Malaysia"
44,POINT (172.8344077 -41.5000831),"New Zealand/Aotearoa, New Zealand / Aotearoa"
45,POINT (-75.0458515 -6.8699697),"Perú, Perú"
46,POINT (6.129799 49.6112768),"Luxembourg, Lëtzebuerg"
47,POINT (-72.9088133 4.099917),"Colombia, Colombia"
48,POINT (103.83039182212079 1.3408630000000001),"Singapore, Singapore"
49,POINT (23.7499997 55.3500003),"Lietuva, Lietuva"
50,POINT (71.247499 30.3308401),"پاکستان, پاکستان"
51,POINT (7.9999721 9.6000359),"Nigeria, Nigeria"
52,POINT (51.2295295 25.3336984),"قطر, قطر"
53,POINT (107.9650855 15.9266657),"Việt Nam, Việt Nam"
54,POINT (20.55144 44.1534121),"Србија, Србија"
55,POINT (15.6575209 45.3658443),"Hrvatska, Hrvatska"
56,POINT (-64.9672817 -34.9964963),"Argentina, Argentina"
57,POINT (25.3319078 58.7523778),"Eesti, Eesti"
58,POINT (44.6736646 40.7696272),"Հայաստան, Հայաստան"
59,POINT (9.400138 33.8439408),"تونس, تونس"
60,POINT (14.4476911 35.8885993),"Malta, Malta"
61,POINT (-71.3187697 -31.7613365),"Chile, Chile"
62,POINT (29.2675469 26.2540493),"مصر, مصر"
63,POINT (35.843409 33.8750629),"لبنان, لبنان"
64,POINT (122.7312101 12.7503486),"Philippines, Philippines"
65,POINT (27.6971358 53.4250605),"Беларусь, Беларусь"
66,POINT (24.7537645 56.8406494),"Latvija, Latvija"
67,POINT (90.2934413 24.4769288),"বাংলাদেশ, Bangladesh"
68,POINT (102.06908954680432 9.8762687),Gulf of Thailand
69,POINT (-79.3666965 -1.3397668),"Ecuador, Ecuador"
70,POINT (38.6521203 10.2116702),"ኢትዮጵያ / Ethiopia, ኢትዮጵያ"
71,POINT (66.7780818 48.1012954),"Қазақстан, Қазақстан"
72,POINT (17.5961467 44.3053476),"Bosna i Hercegovina, Bosna i Hercegovina / Босна и Херцеговина"
73,POINT (-18.1059013 64.9841821),"Ísland, Ísland"
74,POINT (-80.8328748 23.0131338),"Cuba, Cuba"
75,POINT (-56.0201525 -32.8755548),"Uruguay, Uruguay"
76,POINT (-66.4858295 18.2247706),"Puerto Rico, United States"
77,POINT (84.0917139 28.1083929),"Nepal, Nepal"
78,POINT (0.0639692 51.5084776),"Cyprus, University Roads, E16 2RD, University Roads, London, England, United Kingdom"
79,POINT (80.66247852355892 7.877395849999999),"Sri Lanka, ශ්‍රී ලංකාව இலங்கை"
80,POINT (-144.6434898 -17.0243749),"Polynésie Française, France"
81,POINT (-61.0840075 10.7466905),"Trinidad and Tobago, Trinidad and Tobago"
82,POINT (-84.0739102 10.2735633),"Costa Rica, Costa Rica"
83,POINT (-7.9957035 39.554608),"Mação, Portugal"
84,POINT (36.941628 31.1667049),"الأردن, الأردن"
85,POINT (-81.1308434 8.559559),"Panama, Panamá"
86,POINT (144.7651677 13.4499943),"Guam, United States"
87,POINT (44.1749775 33.0955793),"العراق, العراق"
88,POINT (-66.1109318 8.0018709),"Venezuela, Venezuela"
89,POINT (-87.4529316 40.9463651),"Morocco, Indiana, United States"
90,POINT (-83.1137366 32.3293809),"Georgia, United States"
91,POINT (35.7878438 -6.5247123),"Tanzania, Tanzania"
92,POINT (0.3149312 -79.4063075),Antarctica
93,POINT (-64.9912286 -17.0568696),"Bolivia, Bolivia"
94,POINT (-61.6904045 12.1360374),"Grenada, Grenada"
95,POINT (47.4979476 29.2733964),"الكويت, الكويت"
96,POINT (38.4313975 1.4419683),"Kenya, Kenya"
97,POINT (117.8902853 -2.4833826),"Indonesia, Indonesia"
98,POINT (97.7453061 64.6863136),"Россия, Россия"
